system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,hospital_rate,payer_rate,difference,ratio,relative_difference,is_implausible,hospital_vintage,payer_vintage,notes,hospital_slug
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93600,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93602,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93603,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93609,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93610,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93612,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93613,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93615,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93616,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93618,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93619,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93620,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93621,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93622,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93623,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,PPO,5880.0,55234.0,49354.0,9.393537414965987,8.393537414965987,False,2026-04-01,2026-09-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,G0422,HCPCS,outpatient,facility,Cigna Localplus - Tmsh,LocalPlus,1534.46,154.65,-1379.81,0.10078464085085306,8.922146783058519,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,G0422,HCPCS,outpatient,facility,Cigna Ppo - Tmsh,NationalPPO,2033.62,204.96,-1828.6599999999999,0.10078579085571543,8.92203356752537,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,G0432,HCPCS,outpatient,facility,Cigna Localplus - Tmsh,LocalPlus,54.3,20.01,-34.28999999999999,0.3685082872928177,1.7136431784107942,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,G0432,HCPCS,outpatient,facility,Cigna Ppo - Tmsh,NationalPPO,71.97,26.52,-45.45,0.3684868695289704,1.7138009049773757,False,2026-04-01,2026-08-01,,mount-sinai-health-system
