system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,hospital_rate,payer_rate,difference,ratio,relative_difference,is_implausible,hospital_vintage,payer_vintage,notes,payer_min,payer_max,payer_count,inside_payer_range,hospital_slug
White Plains,White Plains Hospital,Cigna,273,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,111810.36,131079.51,19269.15000000001,1.1723377869456821,0.17233778694568203,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,117972.8,131079.51,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,274,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,89242.4,104587.18,15344.779999999999,1.1719449499341121,0.17194494993411202,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,94129.45,104587.18,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,278,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,143062.93,176854.87,33791.94,1.2362033267457895,0.23620332674578945,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,159171.06,176854.87,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,279,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,91627.3,114586.15,22958.84999999999,1.2505677892942386,0.2505677892942386,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,103128.61,114586.15,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,289,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,45084.45,54233.33,9148.880000000005,1.2029276169499685,0.20292761694996844,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,48810.51,54233.33,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,317,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,176894.86,212450.16,35555.30000000002,1.2009967954976195,0.20099679549761942,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,191207.15,212450.16,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,320,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,66188.3,76423.6,10235.300000000003,1.1546391129550087,0.1546391129550087,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,68781.96,76423.6,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,325,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,81841.75,102004.04,20162.289999999994,1.2463570243793662,0.24635702437936619,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,91804.6,102004.04,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,332,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,99185.23,115040.5,15855.270000000004,1.1598551518204878,0.15985515182048785,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,103537.54,115040.5,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,333,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,60769.36,74418.72,13649.36,1.2246092438689498,0.22460924386894976,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,66977.55,74418.72,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,350,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,69196.6,79175.14,9978.539999999994,1.1442056401615108,0.14420564016151072,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,71258.37,79175.14,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,356,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,121973.38,139572.43,17599.04999999999,1.1442859909268726,0.14428599092687264,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,125616.51,139572.43,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,357,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,64395.33,73888.11,9492.779999999999,1.1474141059607894,0.14741410596078938,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,66500.0,73888.11,3,False,white-plains-hospital
